Order ID,Customer Name,Product,Quantity,Total Amount (?)
ORD-02-100,Meena Kapoor,Headphones,2,"?12,082"
ORD-02-101,Pooja Reddy,Tablet,3,"?9,231"
ORD-02-102,Anjali Kumar,Speaker,7,"?53,697"
ORD-02-103,Divya Nair,Tablet,16,"?97,008"
ORD-02-104,Anjali Kumar,Keyboard,5,"?13,205"
ORD-02-105,Anjali Kumar,Webcam,4,"?21,164"
ORD-02-106,Rahul Sharma,Webcam,14,"?50,232"
ORD-02-107,Arjun Das,Printer,11,"?75,207"
ORD-02-108,Karan Singh,Monitor,5,"?14,775"
ORD-02-109,Anjali Kumar,Monitor,6,"?19,644"
ORD-02-110,Divya Nair,Smartwatch,12,"?74,724"
ORD-02-111,Rahul Sharma,Headphones,3,"?13,179"
ORD-02-112,Meena Kapoor,Speaker,20,"?147,240"
ORD-02-113,Rohit Patel,Mobile,16,"?39,856"
ORD-02-114,Pooja Reddy,Mobile,5,"?3,505"
ORD-02-115,Sneha Joshi,Monitor,7,"?19,215"
ORD-02-116,Vikram Rao,Mobile,11,"?16,247"
ORD-02-117,Vikram Rao,Mobile,2,"?11,004"
ORD-02-118,Vikram Rao,Webcam,12,"?92,760"
ORD-02-119,Vikram Rao,Smartwatch,2,"?15,248"
ORD-02-120,Priya Mehta,Monitor,19,"?44,156"
ORD-02-121,Pooja Reddy,Printer,13,"?41,769"
ORD-02-122,Arjun Das,Headphones,3,"?20,454"
ORD-02-123,Neha Gupta,Smartwatch,2,"?3,612"
ORD-02-124,Neha Gupta,Printer,7,"?51,366"
TOTAL,,,207,"?960,580"
