Order ID,Customer Name,Product,Quantity,Total Amount (?)
ORD-01-100,Neha Gupta,Speaker,3,"?20,505"
ORD-01-101,Raj Malhotra,Headphones,7,"?38,927"
ORD-01-102,Vikram Rao,Speaker,15,"?82,515"
ORD-01-103,Priya Mehta,Mobile,14,"?92,190"
ORD-01-104,Anjali Kumar,Keyboard,15,"?109,575"
ORD-01-105,Rahul Sharma,Webcam,8,"?50,200"
ORD-01-106,Aman Verma,Monitor,13,"?101,790"
ORD-01-107,Divya Nair,Laptop,18,"?47,124"
ORD-01-108,Meena Kapoor,Printer,15,"?37,140"
ORD-01-109,Divya Nair,Keyboard,20,"?147,240"
ORD-01-110,Sneha Joshi,Headphones,4,"?25,084"
ORD-01-111,Divya Nair,Tablet,13,"?80,483"
ORD-01-112,Suresh Iyer,Smartwatch,6,"?4,962"
ORD-01-113,Rahul Sharma,Headphones,2,"?2,060"
ORD-01-114,Suresh Iyer,Printer,10,"?30,190"
ORD-01-115,Rohit Patel,Headphones,4,"?7,352"
ORD-01-116,Arjun Das,Laptop,10,"?57,550"
ORD-01-117,Priya Mehta,Laptop,11,"?27,324"
ORD-01-118,Rahul Sharma,Laptop,20,"?11,160"
ORD-01-119,Vikram Rao,Printer,13,"?79,222"
ORD-01-120,Rahul Sharma,Keyboard,6,"?32,058"
ORD-01-121,Arjun Das,Laptop,15,"?34,350"
ORD-01-122,Neha Gupta,Laptop,18,"?53,424"
ORD-01-123,Rohit Patel,Tablet,5,"?34,825"
ORD-01-124,Arjun Das,Tablet,14,"?107,982"
TOTAL,,,279,"?1,315,232"
